animeTitle	Osomatsu-san Movie: Zensetsu Gekijou
animeType	Special
animeNumEpisode	6
releaseDate	2019-11-06 00:00:00
endDate	
animeNumMembers	1833
animeScore	6.77
animeUsers	591
animeRank	4733
animePopularity	9671
animeDescription	Osomatsu-san Movie DVD/BD specials. In it the boys break the fourth wall worrying about their own film being released.
animeRelated	['Osomatsu-san Movie']
animeCharacters	['Matsuno, Ichimatsu', 'Matsuno, Karamatsu', 'Matsuno, Juushimatsu', 'Matsuno, Osomatsu', 'Matsuno, Choromatsu', 'Matsuno, Todomatsu']
animeVoices	['Fukuyama, Jun', 'Nakamura, Yuuichi', 'Ono, Daisuke', 'Sakurai, Takahiro', 'Kamiya, Hiroshi', 'Irino, Miyu']
animeStaff	[]
