animeTitle	Tensai? Dr. Hamax
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15333
animeDescription	"No synopsis has been added for this series yet.

Click here to update this information."
animeRelated	[]
animeCharacters	['Dr. Hamax', 'President', 'Kaori', 'Eriko', 'Dodoarino']
animeVoices	['Hamaguchi, Masaru', 'Yanagihara, Tetsuya', 'Nazuka, Kaori', 'Namiki, Noriko', 'Arino, Shinya']
animeStaff	[['Fuseki, Kazunobu', 'Director, Episode Director, Storyboard'], ['Takashima, Daisuke', 'Episode Director'], ['KAZCO', 'Theme Song Performance'], ['Genma, Nobuhiko', 'Mechanical Design']]
