animeTitle	Kurokami: Tora to Tsubasa
animeType	Special
animeNumEpisode	1
releaseDate	2009-12-22 00:00:00
endDate	
animeNumMembers	8542
animeScore	6.85
animeUsers	3419
animeRank	4435
animePopularity	5649
animeDescription	Half a year after the battle in Okinawa, Excel was looking for a new Mototsumitama to revenge on Reishin. Excel met Mikami and decided to contract with her. Before making the contract, Excel looked back at the encounter with Steiner.
animeRelated	['Kurokami The Animation']
animeCharacters	['Steiner', 'Excel', 'Houjou, Mikami', 'Ibuki, Keita']
animeVoices	['Nakata, Jouji', 'Tamura, Yukari', 'Kaida, Yuuko', 'Namikawa, Daisuke']
animeStaff	[['Im, Dal Young', 'Original Creator'], ['Park, Sung-Woo', 'Original Character Design']]
