animeTitle	Sunny Days!
animeType	Music
animeNumEpisode	1
releaseDate	2018-08-31 00:00:00
endDate	
animeNumMembers	
animeScore	5.7
animeUsers	127
animeRank	
animePopularity	15625
animeDescription	"Famous Japanese creators challenge the possibilities of Marine-chan（the famous character of ""Umimonogatari""). Co-Making brand new digital idol ""iMarine-chan"", original song and music video with Users. We put several meaning into ""i"" of iMarine, such as infinity, icon, internet, imagination, innovation, ideal and I.

(Source: Official YouTube channel)"
animeRelated	"['Dive to Blue', ""Marine Dreamin'"", ""Marine Bloomin'"", 'Deep Blue Town e Oide yo', 'Deep Blue Song', ""Marine Dreamin' (2017)"", 'Dive to Blue (October 2016)', 'Marine Mirage', 'Sea Breeze', 'Deep Blue Song (September 2017)']"
animeCharacters	[]
animeVoices	[]
animeStaff	[]
