animeTitle	Yi Shijie Zhongyao Pu
animeType	ONA
animeNumEpisode	40
releaseDate	2020-05-08 00:00:00
endDate	2020-09-11 00:00:00
animeNumMembers	568
animeScore	6.13
animeUsers	180
animeRank	8020
animePopularity	12670
animeDescription	After graduating from the University of Traditional Chinese Medicine, Sun Jiayou returned home to inherit a traditional Chinese medicine shop. He found that although the people here would not use medicine as a treatment, they had own spiritual system. To realize his grandfather’s dream, he plans to promote Chinese medicine in a different world. However, the spirit messenger considers it a big threat. In some confrontations with the spirit messenger, he discovers a greater mystery.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
