animeTitle	Doraemon: It's New Year!
animeType	Special
animeNumEpisode	1
releaseDate	1979-01-01 00:00:00
endDate	
animeNumMembers	1703
animeScore	6.56
animeUsers	718
animeRank	5790
animePopularity	9860
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Doraemon (1979)']
animeCharacters	['Doraemon', 'Nobi, Nobita', 'Minamoto, Shizuka', 'Honekawa, Suneo', 'Gouda, Takeshi']
animeVoices	['Ooyama, Nobuyo']
animeStaff	[['Fujiko, Fujio F.', 'Original Creator'], ['Kikuchi, Shunsuke', 'Music']]
