animeTitle	Nishi no Yoki Majo: Astraea Testament
animeType	TV
animeNumEpisode	13
releaseDate	2006-04-08 00:00:00
endDate	2006-07-01 00:00:00
animeNumMembers	16744
animeScore	6.74
animeUsers	5244
animeRank	4910
animePopularity	4325
animeDescription	"On Filiel's 15th birthday, she received her mother's necklace as a memento from her obstinate astronomer father. Her common and tedious life was turned into a life of conspiracies. With her new life, many adventures await.

(Source: ANN)"
animeRelated	['Nishi no Yoki Majo']
animeCharacters	['Ltskin, Roux', 'Dee, Firiel', 'Roland, Adale', 'Lot, Chrisbart', 'Bard', 'Burnett, Igraine', 'Laelia', 'Ravenna', 'Daquitaine, Vincent Clemencia', 'Cisaria']
animeVoices	['Hirata, Hiromi', 'Orikasa, Fumiko', 'Saitou, Chiwa', 'Ishida, Akira', 'Ogawa, Teruaki', 'Saiga, Mitsuki', 'Yasuda, Mio', 'Kouda, Kaho', 'Tsunematsu, Ayumi', 'Noto, Mamiko']
animeStaff	[['Nakayama, Katsuichi', 'Director, Episode Director, Storyboard, Key Animation'], ['Kikuta, Hiromi', 'Sound Director'], ['Kosaka, Harume', 'Episode Director'], ['Fuseki, Kazunobu', 'Episode Director']]
