animeTitle	Milk Junkie: Shimai-hen
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.78
animeUsers	3760
animeRank	
animePopularity	5233
animeDescription	"Wataru is a young man who moves into an apartment next to Tomoka and Fumie Fusono, two voluptuous sisters who used to know him when he was a shy child. Now Wataru is all grown up, and the Fusono sisters are ready to take full advantage of that fact.

(Source: ANN)"
animeRelated	['Milk Junkie', 'Bakunyuu Oyako', 'Mrs. Junkie', 'Cafe Junkie']
animeCharacters	['Fusano, Fumie']
animeVoices	['Kawaragi, Shiho']
animeStaff	[['Raika, Ken', 'Director'], ['Nakagawa, Tatsuto', 'Sound Director'], ['Sakisaka, Mamoru', 'Storyboard, Key Animation'], ['Tatsunami, Youtoku', 'Original Character Design']]
