animeTitle	Anime Oyako Gekijou
animeType	TV
animeNumEpisode	26
releaseDate	1981-10-09 00:00:00
endDate	1982-03-29 00:00:00
animeNumMembers	
animeScore	6.03
animeUsers	752
animeRank	
animePopularity	9498
animeDescription	"The series beings at the home of a young boy named Sho Azuka discovers the magical Bible ""Superbook"" that speaks and sends him, his friend Azusa Yamato, and his toy robot Zenmaijikake back in time to the early events of the Old Testament."
animeRelated	['Personal Computer Travel Tanteidan']
animeCharacters	['Zenmaijikake', 'Azuka, Sho', 'Yamato, Azusa', 'Professor']
animeVoices	['Masuoka, Hiroshi', 'Sugaya, Masako', 'Miwa, Katsue', 'Matsuoka, Fumio']
animeStaff	[['Sekita, Osamu', 'Director'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Higuchi, Masakazu', 'Episode Director, Storyboard, Character Design, Chief Animation Director'], ['Takagi, Yoshiko', 'Script']]
