animeTitle	Kanimanji Engi
animeType	Movie
animeNumEpisode	1
releaseDate	1925-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.47
animeUsers	172
animeRank	
animePopularity	13716
animeDescription	An early silhouette animated film by Hidehiko Okuda, Hakusan Kimura and Tomu Uchida. The original story is a Buddhist tale of a young lady who saved a crab (a spiritual being according to Japanese Buddhist faith) from being eaten, and was later saved from danger by the same crab.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
