animeTitle	Shika to Kanta
animeType	OVA
animeNumEpisode	1
releaseDate	1992-04-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15970
animeDescription	One day, Kanta, a lonely boy, rescues an orphaned baby deer and names it Poyu. There is something special about Poyu, his golden tail. When hunters go after Poyu, Kanta is determined to protect his golden-tailed friend and the other deer.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
