animeTitle	Ketsuekigata-kun! 3
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.36
animeUsers	1364
animeRank	
animePopularity	8277
animeDescription	Third season of the Ketsuekigata-kun! series.
animeRelated	['Ketsuekigata-kun! 2', 'Ketsuekigata-kun! 4']
animeCharacters	['O-gata-kun', 'AB-gata-kun', 'B-gata-kun', 'A-gata-kun', 'AB-Gata-chan', 'O-Gata-chan', 'B-Gata-chan', 'A-Gata-chan', 'Narrator']
animeVoices	['Ishida, Akira', 'Kakihara, Tetsuya', 'Nakamura, Yuuichi', 'Fukuyama, Jun', 'Nakahara, Mai', 'Kobayashi, Yuu', 'Horie, Yui', 'Yuuki, Aoi', 'Narumi, Kyoko']
animeStaff	[['Ooyama, Yoshihisa', 'Director'], ['Shinohara, Masahiro', 'Episode Director'], ['Nagaya, Seishirou', 'Episode Director'], ['Yuuki, Aoi', 'Theme Song Performance']]
