animeTitle	b'Hametarou'
animeType	b'Special'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Commercials/TV bumps for Dogatch's new mascot Hametarou. The second episode collaboration with Dogatch's other mascot franchise Mameshiba. The commercials are surreal pieces where Hametarou sings while thrusting his face through various cut outs. """
animeRelated	[b'Mameshiba']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
