animeTitle	Lovely Movie: Itoshi no Muco
animeType	TV
animeNumEpisode	20
releaseDate	2013-07-29 00:00:00
endDate	2013-12-23 00:00:00
animeNumMembers	1250
animeScore	6.39
animeUsers	249
animeRank	6758
animePopularity	10580
animeDescription	"The happy daily life of Muco, a not-too-bright Akita dog, and its owner Komatsu-san the glass-blower.

(Source: MU)"
animeRelated	['Itoshi no Muco', 'Lovely Movie: Itoshi no Muco Specials', 'Lovely Movie: Itoshi no Muco Season 2']
animeCharacters	['Muco', 'Komatsu, Seiji', 'Shinohara', 'Bouda, Rena', 'Bouda', 'Ushijima, Kouhei']
animeVoices	['Yoshida, Hitomi', 'Tanioka, Shinichi', 'Nazuka, Kaori', 'Uesaka, Sumire', 'Kurata, Taisei', 'Sano, Mizuki']
animeStaff	[['Mihara, Takenori', 'Director'], ['Taniguchi, Junichirou', 'Character Design'], ['Mizushina, Takayuki', 'Original Creator']]
