animeTitle	b'Fox Wood Monogatari'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Harvey, Rue, and Willie are a hedgehog, rabbit, and mouse who live in a windmill in the peaceful town of Fox Wood, where they have several adventures in this short-lived series based on the children's picture books by the British creators Cynthia and Brian Paterson. \n\n(Source: Anime Encyclopedia)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
