animeTitle	Project ARMS
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.97
animeUsers	3180
animeRank	
animePopularity	4953
animeDescription	A boy gets involved in an accident when in kindergarten, horribly damaging his arm, but the doctors somehow manage to save it. Now, several years later, his arm seems to be becoming the focus of strange events as it turns out to be more than a normal arm. Meanwhile, a secret organizations is out to get hold of him and the power he possess. 
animeRelated	['Arms', 'Project ARMS: The 2nd Chapter']
animeCharacters	['Takatsuki, Ryou', 'Kuruma, Kei', 'Shingu, Hayato', 'Akagi, Katsumi', 'Tomoe, Takeshi', 'Gilbert, Yugo', 'Katz, Mary', 'Takatsuki, Misa', 'Silver, Keith', 'Green, Keith']
animeVoices	['Canna, Nobutoshi', 'Takayama, Minami', 'Miki, Shinichiro', 'Miura, Tomoko', 'Ueda, Yuuji', 'Honma, Yukari', 'Inoue, You', 'Ichijou, Miyuki', 'Kawazu, Yasuhiko']
animeStaff	[['Kamegaki, Hajime', 'Director'], ['Takaya, Hirotoshi', 'Director, Storyboard, Key Animation'], ['Takaoka, Junichi', 'Director'], ['Urakami, Yasuo', 'Sound Director']]
