animeTitle	Kemy Tamheomdae
animeType	TV
animeNumEpisode	26
releaseDate	2016-06-13 00:00:00
endDate	2016-12-12 00:00:00
animeNumMembers	140
animeScore	
animeUsers	
animeRank	16666
animePopularity	17125
animeDescription	A season of Kemy, where the gang goes on expeditions to explore nature. This season is similar to the original Kemy Lang Buka Chaka where some of the footage is live action nature. Still, Buka and Chaka do not reprise their roles in this season either.
animeRelated	['Kemy Lang Buka Chaka', 'Kemy']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
