animeTitle	b'Manga Aesop Monogatari'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Aesop is a trouble-making young boy who finds himself in another world filled with creatures he never believed to exist, such as fairies and talking donkeys. He sets off to find a way back to the normal world. On his journey he befriends many classical creatures from well-known fables and encounters many trials, each teaching him a valuable lesson.\n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
