animeTitle	Ano Hi no Kanojo-tachi
animeType	ONA
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	6.63
animeUsers	1291
animeRank	
animePopularity	7144
animeDescription	Web shorts focusing on each of the 22/7 idols in normal everyday life.
animeRelated	['Boku wa Sonzai Shiteinakatta', 'Shampoo no Nioi ga Shita', 'Rikaisha', 'Nani mo Shite Agerarenai', '22/7']
animeCharacters	['Takigawa, Miu', 'Toda, Jun', 'Fujima, Sakura', 'Maruyama, Akane', 'Tachikawa, Ayaka', 'Satou, Reika', 'Saitou, Nicole', 'Kouno, Miyako', 'Waitress']
animeVoices	['Saijou, Nagomi', 'Umino, Ruri', 'Amaki, Sally', 'Shirosawa, Kanae', 'Miyase, Reina', 'Chiharu', 'Hanakawa, Mei', 'Kuraoka, Mizuha', 'Takeda, Aina']
animeStaff	[['Wakabayashi, Shin', 'Director, Episode Director, Storyboard'], ['Fujita, Akiko', 'Sound Director'], ['Kobayashi, Maiko', 'Episode Director, Key Animation'], ['Watanabe, Akio', 'Original Character Design']]
