animeTitle	Slayers Revolution
animeType	TV
animeNumEpisode	13
releaseDate	2008-07-03 00:00:00
endDate	2008-09-25 00:00:00
animeNumMembers	34183
animeScore	7.27
animeUsers	16640
animeRank	2541
animePopularity	3070
animeDescription	"Having lost the Sword of Light in the previous battle, Lina and Gourry continue their journey in search of a replacement weapon. On the way, the two of them meet up with Amelia and Zelgadis in the kingdom of Luvinagard while taunting some pirates. Lina is happy to reunite with her old friends, but appearing before her is Luvinagard's Inspector of the Special Investigative Unit; a man called Wizer. However, Lina is amazed at his unusual behavior... 

(Source: ANN)"
animeRelated	['Slayers Revolution', 'Slayers Try', 'Slayers Evolution-R']
animeCharacters	['Inverse, Lina', 'Graywords, Zelgadis', 'Gabriev, Gourry', 'Saillune, Amelia Wil Tesla', 'Pokota', 'Xellos', 'Nels Laada, Sylphiel', 'Rezo', 'El Di Saillune, Philionel', 'Ozzel']
animeVoices	['Hayashibara, Megumi', 'Midorikawa, Hikaru', 'Matsumoto, Yasunori', 'Suzuki, Masami', 'Kobayashi, Yumiko', 'Ishida, Akira', 'Touma, Yumi', 'Koyasu, Takehito', 'Inaba, Minoru', 'Kimura, Haruka']
animeStaff	[['Watanabe, Takashi', 'Director, Storyboard'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Takashima, Daisuke', 'Episode Director'], ['Shiraishi, Michita', 'Episode Director']]
