animeTitle	b'I\xe2\x98\x86Can'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.76
animeUsers	2883
animeRank	
animePopularity	
animeDescription	"b""The story of a pop idol and her dear friend who doesn't care much about the crush of another young friend and always pays attention to the idol, who is harassed by her manager. One day, they are about to have sex in the dressing rooms when the manager founds out via the camera and gets in the room to stop them and take advantage of the girl.\n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Miyu', b'Terada', b'Reina', b'Tendo, Ryouta']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nLiLiM\n\nOriginal Creator\n\n']
