animeTitle	Sky Girls
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.02
animeUsers	7958
animeRank	
animePopularity	3805
animeDescription	In the near future, Earth is at war with aliens called Worms. The war leaves the population of Earth decimated, with young men the main casualties. The Worms were beaten back but their re-emergence heralds the creation of a mecha unit called the Sonic Divers, piloted by 3 young girls to counter this threat.
animeRelated	['Sky Girls OVA', 'Sky Girls Specials']
animeCharacters	['Sakurano, Otoha', 'Ichijou, Eika', 'von Dietrich, Elise', 'Sonomiya, Karen', 'Mikogami, Ranko', 'Mikogami, Haruko', 'Tougou, Souya', 'Hizuki, Rei', 'Tachibana, Ryohei', 'Hayami, Takumi']
animeVoices	['Kawasumi, Ayako', 'Itou, Shizuka', 'Tsuji, Ayumi', 'Gotou, Saori', 'Higa, Kumiko', 'Ishikawa, Momoko', 'Fujiwara, Keiji', 'Majima, Junji', 'Taniyama, Kishou', 'Shiraishi, Ryouko']
animeStaff	[['Iwasaki, Yoshiaki', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Takashima, Daisuke', 'Episode Director'], ['Suzuki, Youhei', 'Episode Director']]
