animeTitle	Ashita no Yukinojou
animeType	OVA
animeNumEpisode	4
releaseDate	2002-09-27 00:00:00
endDate	2003-05-23 00:00:00
animeNumMembers	2547
animeScore	5.56
animeUsers	663
animeRank	
animePopularity	8816
animeDescription	"Kasuga Serina is a cheerful girl and enjoys her school life. One day, she meets a handsome transfer student, Yukimura Yukinojo, who acts as if he were indifferent of others. Despite his behavior, she cannot help caring about him.

(Source: animenfo.com)"
animeRelated	['Masaru Ashita no Yukinojou 2']
animeCharacters	['Yukinojou, Yukimura', 'Kasuga, Serina', 'Kubo, Shouko']
animeVoices	[]
animeStaff	[['Kageyama, Shigenori', 'Director, Script, Storyboard, Screenplay'], ['ELF Corporation', 'Original Creator'], ['Katou, Hiroto', 'Animation Director'], ['Tahara, Yuuko', 'Background Art']]
