animeTitle	Pikmin Short Movies
animeType	Movie
animeNumEpisode	3
releaseDate	2014-10-25 00:00:00
endDate	
animeNumMembers	1388
animeScore	6.92
animeUsers	740
animeRank	4112
animePopularity	10348
animeDescription	"Three short stories from the Nintendo Pikmin game series.

The short 3D animated film is a project that Shigeru Miyamoto, a Japanese video game designer, created to explore the characters in a way his games could not."
animeRelated	[]
animeCharacters	['Olimar']
animeVoices	[]
animeStaff	[['Kobayashi, Shinichirou', 'Producer'], ['Miyamoto, Shigeru', 'Director, Original Creator, Executive Producer']]
