animeTitle	Sajou no Yumekui Shoujo
animeType	Music
animeNumEpisode	1
releaseDate	2010-05-03 00:00:00
endDate	
animeNumMembers	290
animeScore	5.38
animeUsers	154
animeRank	10727
animePopularity	14703
animeDescription	"Music video for Kenshi Yonezu's song Shajou no Yumekui Shoujo animated by Minakata Laboratory. The song was also released on his 2nd album titled ""OFFICIAL ORANGE""."
animeRelated	['Wonderland to Hitsuji no Uta']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
