animeTitle	Komori-san wa Kotowarenai!
animeType	TV
animeNumEpisode	12
releaseDate	2015-10-04 00:00:00
endDate	2015-12-20 00:00:00
animeNumMembers	60541
animeScore	6.25
animeUsers	26131
animeRank	7447
animePopularity	2257
animeDescription	"Fifteen-year-old Komori Shuri is a junior high school girl who is too nice to decline requests. Constantly doing favors for other people has given her incredible strength?! But even so, she is also an adolescent junior high school girl.

An anime overflowing with the ups and downs of everyday life!

(Source: Batoto, edited)"
animeRelated	['Komori-san wa Kotowarenai!', 'Ooyasan wa Shishunki!']
animeCharacters	['Komori, Shuri', 'Negishi, Masako', 'Nishitori, Megumi', 'Ootani, Kurou']
animeVoices	['Uchida, Aya', 'Naganawa, Maria', 'Ozawa, Ari', 'Takeshita, Reina']
animeStaff	[['Imaizumi, Kenichi', 'Director, Episode Director, Storyboard, Key Animation'], ['Kawazoe, Kengo', 'Sound Director'], ['Cool-kyou Shinja', 'Original Creator'], ['Hiraki, Daisuke', 'Editing']]
