animeTitle	Sore Ike! Anpanman: Horrorman to Hora Horako
animeType	Movie
animeNumEpisode	1
releaseDate	2007-07-14 00:00:00
endDate	
animeNumMembers	241
animeScore	
animeUsers	
animeRank	13475
animePopularity	15393
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Currypanman', 'Horrorman', 'Dokin-chan', 'Oji-san, Jam', 'Horako', 'Batako-san', 'Shokupanman']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Yanagisawa, Michiyo', 'Kimotsuki, Kaneta', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Enomoto, Kanako', 'Sakuma, Rei', 'Shimamoto, Sumi']
animeStaff	[['Dreaming', 'Theme Song Performance'], ['Yanase, Takashi', 'Original Creator'], ['Izumi, Taku', 'Music'], ['Kondou, Hiroaki', 'Music']]
