animeTitle	b'Nanami-chan'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.0
animeUsers	437
animeRank	
animePopularity	
animeDescription	b'Michi and her family have just moved into the Happiness House, a huge tree with all sorts of little buildings and houses built on and inside of it. Upon exploring what is to be her new bedroom, Michi finds an odd nut-like object. Before long, a strange creature, Nanami-chan, hatches out of it. The two become fast friends. Together, Michi and Nanami-chan learn all kind of new things, and everyday they meet more eccentric residents of the Happiness House. \n\n(Source: ANN)'
animeRelated	[b'Nanami-chan 2nd Series']
animeCharacters	[b'Aoba, Michi', b'Nanami', b'Aoba, Yusaku', b'Aoba, Yoko']
animeVoices	[b'\nKozakura, Etsuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKuricorder Quartet\n\nMusic\n\n', b'\nOohashi, Sachiko\n\nChief Animation Director\n\n', b'\nFuruya, Akira\n\nBackground Art\n\n', b'\nInaba, Takuya\n\nCharacter Design\n\n']
