animeTitle	Honoo no Tenkousei
animeType	OVA
animeNumEpisode	2
releaseDate	1991-05-21 00:00:00
endDate	
animeNumMembers	5810
animeScore	6.64
animeUsers	2666
animeRank	5382
animePopularity	6595
animeDescription	"Transfer student Takisawa Noboru quickly learns that all disputes at his new school are settled in the boxing ring. Now he finds himself in a series of showdowns with the local top dog, Ibuki Saburo, for the love and respect of the beautiful Yukari.

(Source: ANN)"
animeRelated	['Honoo no Tenkousei']
animeCharacters	['Takizawa, Noboru', 'Ibuki, Saburo', 'Honoo, Moyuru', 'Jounouchi, Kouichi', 'Takamura, Yukari']
animeVoices	['Seki, Toshihiko', 'Genda, Tesshou', 'Hayami, Show', 'Hidaka, Noriko']
animeStaff	[['Nishijima, Katsuhiko', 'Director, Animation Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Anno, Hideaki', 'Episode Director'], ['Okada, Toshio', 'Script, Screenplay, Planning']]
