animeTitle	b'Yi Kong Zhi Dian'
animeType	b'TV'
animeNumEpisode	40
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'In a city of the future, many kids can play with Finger Skateboards--skateboards that can move a simulated character in a battle at will of the player. Our main character enters shop and joins the game along with his 3 friends. They kids go on many adventures and compete against Alexander, the son of a rival company competing against the original shop.'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
