animeTitle	Yewai de Zaoyu
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18405
animeDescription	The little flower pig's food was snatched by a crow, so he follows the crow far away. However, the little pig who was left behind began crying because he couldn't find the little flower pig. The little yellow dog asks the little pig why he was crying and the little yellow dog then helps the little pig find the little flower pig.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
