animeTitle	Saki Achiga-hen: Episode of Side-A - Kuro no Tanjoubi
animeType	Special
animeNumEpisode	1
releaseDate	2015-03-18 00:00:00
endDate	
animeNumMembers	2614
animeScore	6.63
animeUsers	675
animeRank	5423
animePopularity	8777
animeDescription	Short original anime bundled with the limited edition Blu-ray Box of Saki Achiga-hen: Episode of Side-A.
animeRelated	['Saki Achiga-hen: Episode of Side-A']
animeCharacters	['Takakamo, Shizuno', 'Atarashi, Ako', 'Matsumi, Kuro', 'Matsumi, Yuu', 'Sagimori, Arata', 'Akado, Harue']
animeVoices	[]
animeStaff	[['Ono, Manabu', 'Director, Episode Director, Storyboard'], ['Urahata, Tatsuhiko', 'Script'], ['Sasaki, Masakatsu', 'Animation Director, Character Design']]
