animeTitle	Pikotarou no Lullaby Lullaby
animeType	ONA
animeNumEpisode	3
releaseDate	2017-07-17 00:00:00
endDate	2017-07-26 00:00:00
animeNumMembers	
animeScore	5.27
animeUsers	1003
animeRank	
animePopularity	9843
animeDescription	"Pikotaro breaks new ground. Drawing inspiration from illustrations by director Taniguchi, he does the unthinkable: three-minute, scriptless fairy tale anime. Pikotaro is presented with classics loved around the world, including The Little Match Girl, Cinderella, and The Ugly Duckling. The mad genius who took the world by storm returns to bring you unique bedtime stories certain to rock you into absurd sleep.

(Source: Crunchyroll)"
animeRelated	['Pikotarou no Lullaby Lullaby (TV)']
animeCharacters	['Pikotarou']
animeVoices	['Kosaka, Daimaou']
animeStaff	[['Taniguchi, Takashi', 'Director']]
