animeTitle	Chikan Juunin-tai The Animation
animeType	OVA
animeNumEpisode	5
releaseDate	2004-07-08 00:00:00
endDate	2004-08-07 00:00:00
animeNumMembers	
animeScore	5.94
animeUsers	785
animeRank	
animePopularity	8871
animeDescription	"There are nine men and a single woman called ""Chikan Juunin-tai"" (the 10 pursuers). They make their client's dreams come true, that wish to be ""pursued"" on a train. 

(Source: ANN) "
animeRelated	[]
animeCharacters	['Takahashi, Akane ', 'Honmei, Lee', 'Miyanomori, Mika']
animeVoices	['Narumi, Erika', 'Kodama, Satomi']
animeStaff	[['Yoshimoto, Takuji', 'Character Design']]
