animeTitle	Hakuouki Reimeiroku Tokuten Disc
animeType	OVA
animeNumEpisode	2
releaseDate	2013-05-22 00:00:00
endDate	
animeNumMembers	
animeScore	7.16
animeUsers	1007
animeRank	
animePopularity	7498
animeDescription	"2 eps. Tokuten that were released in a Tokuten Disc for those who purchased all 6 volumes of Hakuouki Reimeiroku OVAs.

Including:
1. Natsu no Wazurai (夏のわずらい)

2. Shinpachi Nagakura Saikyou Densetsu (永倉新八最強伝説)"
animeRelated	['Hakuouki Reimeiroku']
animeCharacters	['Hijikata, Toshizou']
animeVoices	[]
animeStaff	[]
