animeTitle	Fate/stay night TV Reproduction
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.85
animeUsers	14981
animeRank	
animePopularity	2881
animeDescription	An edited and condensed version of the TV series.
animeRelated	['Fate/stay night']
animeCharacters	['Saber', 'Toosaka, Rin', 'Archer', 'Emiya, Shirou', 'Gilgamesh', 'Matou, Sakura', 'von Einzbern, Illyasviel', 'Kotomine, Kirei', 'Lancer', 'Rider']
animeVoices	['Kawasumi, Ayako', 'Ueda, Kana', 'Suwabe, Junichi', 'Sugiyama, Noriaki', 'Seki, Tomokazu', 'Shitaya, Noriko', 'Kadowaki, Mai', 'Nakata, Jouji', 'Canna, Nobutoshi', 'Asakawa, Yuu']
animeStaff	[['Tainaka, Sachi', 'Theme Song Performance'], ['Dewa, Yoshiaki', 'Theme Song Arrangement, Theme Song Composition'], ['Nasu, Kinoko', 'Original Creator'], ['Type-Moon', 'Original Creator']]
