animeTitle	Aku no Onna Kanbu
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.64
animeUsers	3876
animeRank	
animePopularity	5268
animeDescription	"A princess is punished by her servant by being taken over by a spell that makes her obey his every command. 

The princess is forced to have sex and masturbate in front of him while he tries to claim her throne. "
animeRelated	['Aku no Onna Kanbu: Full Moon Night']
animeCharacters	['Runatemisu', 'Oboro', 'Katsuma', 'Kaguya', 'Serena']
animeVoices	['Fujimoto, Noriko', 'Haduki, Rie', 'Takahashi, Shinya', 'Minase, Saki', 'Motoi, Emi']
animeStaff	[['Doshida, Tomoaki', 'Storyboard'], ['Suzuki, Takato', 'Key Animation']]
