animeTitle	Higenashi Gogejabaru
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.02
animeUsers	182
animeRank	
animePopularity	14082
animeDescription	"A naughty boy sneaks into a sleeping cat, cuts off its whiskers and sets in motion a surprising reaction from all who encounters it.

 This video is accompanied by a catchy tune and shown at NHK's Minna no Uta segment."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
