animeTitle	Trava: Fist Planet
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.55
animeUsers	5869
animeRank	
animePopularity	4590
animeDescription	"Ace pilot Trava and his personal mechanic buddy Shinkai, on their way to mark an out-of-the-way planet, pick up Mikuru, a girl with no memory. The three are about to discover that the planet is more than it seems.

(Source: ANN)"
animeRelated	['Redline']
animeCharacters	['Shinkai', 'Anister, Travastila', 'Mikuru']
animeVoices	['Morishita, Yoshiyuki', 'Tsuda, Kanji', 'Kohinata, Shie']
animeStaff	[['Koike, Takeshi', 'Co-Director'], ['Ishii, Katsuhito', 'Director'], ['Imaishi, Hiroyuki', 'Storyboard, Key Animation'], ['Yamamoto, Sayo', 'Storyboard, Assistant Animation Director, Assistant Director']]
