animeTitle	Akadou Suzunosuke
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.07
animeUsers	111
animeRank	
animePopularity	12255
animeDescription	"A young swordsman finds himself involved in a plot to overthrow the shogunate.

(Source: AniDB)"
animeRelated	['Akadou Suzunosuke']
animeCharacters	['Yagyuu, Ichitarou']
animeVoices	['Inoue, Makio']
animeStaff	[['Kaneko, Yutaka', 'Script'], ['Miyazaki, Hayao', 'Storyboard'], ['Dezaki, Osamu', 'Storyboard'], ['Imazawa, Tetsuo', 'Storyboard, Animation Director']]
