animeTitle	Doupo Cangqiong 2nd Season
animeType	ONA
animeNumEpisode	12
releaseDate	2018-03-03 00:00:00
endDate	2018-05-13 00:00:00
animeNumMembers	
animeScore	7.58
animeUsers	2768
animeRank	
animePopularity	6769
animeDescription	The second season of Doupo Cangqiong.
animeRelated	['Doupo Cangqiong', 'Doupo Cangqiong Specials', 'Doupo Cangqiong 2nd Season Specials', 'Doupo Cangqiong 3rd Season']
animeCharacters	['Xiao, Yan', 'Yao, Chen', 'Xiao, Xun Er', 'Xiao, Yi Xian', 'Lin, Fei']
animeVoices	[]
animeStaff	[]
