animeTitle	Kirara Fantasia
animeType	ONA
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	8380
animeDescription	Kirara Fantasia is a mobile fantasy RPG using characters from the manga magazines under the Manga Time Kirara brand. Animated advertisements and promotions were made for the game and streamed on Aniplex's official YouTube channel.
animeRelated	['Kirara Fantasia', 'Yumekui Merry', 'A-Channel', 'Kill Me Baby', 'Hidamari Sketch x Honeycomb', 'Yuyushiki', 'Hello!! Kiniro Mosaic', 'Gakkougurashi!', 'Stella no Mahou', 'Urara Meirochou', 'New Game!!']
animeCharacters	['Kirara']
animeVoices	[]
animeStaff	[]
