animeTitle	Tsuki ga Kirei: Michinori
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.61
animeUsers	8058
animeRank	
animePopularity	4415
animeDescription	Recap of the first six episodes of Tsuki ga Kirei.
animeRelated	['Tsuki ga Kirei']
animeCharacters	['Mizuno, Akane', 'Azumi, Kotarou', 'Nishio, Chinatsu', 'Hira, Takumi']
animeVoices	[]
animeStaff	[['Kishi, Seiji', 'Director'], ['Iida, Satoki', 'Sound Director'], ['Morita, Kazuaki', 'Character Design'], ['Iga, Takurou', 'Music']]
