animeTitle	b'Shiro to Takeshi'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Takeshi is an elementary school student. Shiro is a white dog of Takeshi, Takeshi loves Shiro. When he came back from school he was playing with his friends and Shiro every day. The war gradually became fierce, suddenly there was a prohibition notice to keep a dog from police.'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
