animeTitle	Rebirth
animeType	TV
animeNumEpisode	48
releaseDate	
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	399
animeRank	
animePopularity	7836
animeDescription	"The series revolve around a team of 12 high school students who love to play the trading card game Rebirth For You.

(Source: ANN)"
animeRelated	['Rebirth Special']
animeCharacters	['Higashiyama, Yuu', 'Toudou, Kei']
animeVoices	['Nishio, Yuuka', 'Koyama, Momoyo']
animeStaff	[['Yoshioka, Shinobu', 'Director'], ['Kidani, Takaaki', 'Executive Producer'], ['Takada, Youko', 'Character Design']]
