animeTitle	b'Utakata Overdrive'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'The story takes place in the fantasy world of Planet Note. Humans, who can no longer sing, pair up with members of a tribe of non-humans that can sing. These are the sound users ""Otokata"" and the singers ""Utakata."" Together they use the sounds and songs as weapons in competition.\n\n(Source: ANN)'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
