animeTitle	b'Tetsuro no Kanata'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""A boy encounters a trace of his lost father on tracks where time comes and goes, at a station where time stops. With the help of a mysterious projectionist, the boy and station master search for the truth of the father's image.\n\n(Source: AniDB)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
