animeTitle	b'Kirakira Shougakusei Celeb-chan'
animeType	b'TV'
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'Shorts that aired within ""Fight Tension\xe2\x98\x86Depart,"" a variety program that originally aired the anime as one of its segments. Celeb-chan is a narcissistic school girl who believes that she is a celebrity because her family is incredibly wealthy. She tries to do typical rich people things such as starting her own heavy makeup line, becoming a singer, saving an endangered species, buying a teacup poodle, etc. The results are never how she expects it.'"
animeRelated	[b'Kirakira Shougakusei Celeb-chan Specials']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
