animeTitle	Heartwork: Symphony of Destruction
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.2
animeUsers	1388
animeRank	
animePopularity	7563
animeDescription	"The fiendish gun to which that makes the person deviate whom it has, continues to inhale no human thing blood. 
A certain day, Asakura superior obtains that gun accidentally. In the bag where the gun has entered the mass cash and video of request for the assassination by the person of puzzle... the owner of the original bag was the hit man who is called the hunter. 

It faces to the actual place of assassination, as a hunter uniting with the woman angel of puzzle superior, there, he means to assassinate the target. 

As for superior, selecting one some kind of destiny? 
And, as for this dangerous game expecting first death, or...

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
