animeTitle	Inakappe Taishou
animeType	TV
animeNumEpisode	104
releaseDate	1970-10-04 00:00:00
endDate	1972-09-24 00:00:00
animeNumMembers	554
animeScore	6.24
animeUsers	131
animeRank	7472
animePopularity	12677
animeDescription	"A comedy about a country boy that travels to the city to study judo. He ends up meeting the daughter of a prominent dojo and her judo skilled cat. Each episode features 2 stories. 

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Nyanko-sensei', 'Kaze, Daizaemon']
animeVoices	['Aikawa, Kinya', 'Nozawa, Masako']
animeStaff	[['Yanagawa, Shigeru', 'Script'], ['Nakamura, Mitsuki', 'Art Director'], ['Toriumi, Jinzou', 'Planning'], ['Arai, Torao', 'Art Director']]
