animeTitle	b'Hanasu na\xe2\x98\x85'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.47
animeUsers	186
animeRank	
animePopularity	
animeDescription	b'A televised advertisement for Mode Gakuen, a vocational college in Japan located in Tokyo, Osaka, Nagoya, and Paris. They specialize in fashion, styling, graphic design both in techniques as well as business. Every year they make a new student recruitment video with a tag line. For 2018, the video was animated with the tag line Suki na Koto dake wa, Shindemo Hanasu na\xe2\x98\x85.'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
