animeTitle	Beyblade Burst Gachi
animeType	TV
animeNumEpisode	52
releaseDate	2019-04-05 00:00:00
endDate	2020-03-27 00:00:00
animeNumMembers	5982
animeScore	6.09
animeUsers	2280
animeRank	8225
animePopularity	6549
animeDescription	"This year's March issue of Shogakukan's CoroCoro Comics magazine announced on Friday that a new Beyblade series titled Beyblade Burst GT (Gachi) will debut on April 5. The series will stream weekly on the CoroCoro YouTube channel, the official Beyblade portal website, and the Takara Tomy Channel. The magazine shared a visual of a new protagonist with short blond hair.

(Source: ANN)"
animeRelated	['Beyblade Burst Chouzetsu', 'Beyblade Burst Sparking']
animeCharacters	['Koryu, Drum', 'De La Hoya, Free', 'Aoi, Valt', 'Akaba, Aiga', 'Ronny, Gwyn', 'Akane, Delta', 'Kusaba, Amane', 'Kindo, Fumiya', 'Kindo, Ichika', 'Kusaba, Takane']
animeVoices	['Han, Megumi', 'Morohoshi, Sumire']
animeStaff	[['Akiyama, Katsuhito', 'Director'], ['Oh, Jin-Gu', 'Director'], ['Kawagoe, Kazuki', 'Episode Director, Storyboard'], ['Hatori, Jun', 'Storyboard']]
