animeTitle	Tsubasa Chronicle 2nd Season
animeType	TV
animeNumEpisode	26
releaseDate	2006-04-29 00:00:00
endDate	2006-11-04 00:00:00
animeNumMembers	109407
animeScore	7.59
animeUsers	54039
animeRank	1336
animePopularity	1498
animeDescription	Syaoran, Sakura, Kurogane, Fai and Mokona's journey through to different world's continue as they search for Sakura's feathers. The fated journey slowly becomes more complicated for our travelers, as they find themselves diving deeper into more dangerous worlds. Takes place immediately after the first season. Based on the manga by CLAMP.
animeRelated	['Tsubasa: RESERVoir CHRoNiCLE', 'Tsubasa Chronicle', 'Tsubasa: Tokyo Revelations']
animeCharacters	['Flourite, Fai D.', 'Syaoran', 'Sakura', 'Kurogane', 'Li, Syaoran', 'Modoki, Mokona', 'Ichihara, Yuuko', 'Chii', 'Daidouji, Tomoyo', 'Keroberos']
animeVoices	['Namikawa, Daisuke', 'Irino, Miyu', 'Makino, Yui', 'Inada, Tetsu', 'Kikuchi, Mika', 'Ohara, Sayaka', 'Nazuka, Kaori', 'Hisakawa, Aya']
animeStaff	[['Clinkenbeard, Colleen', 'Producer'], ['Cook, Justin', 'Producer'], ['Mashimo, Kouichi', 'Director'], ['Morioka, Hiroshi', 'Director, Episode Director']]
