animeTitle	Salaryman Kintarou
animeType	TV
animeNumEpisode	20
releaseDate	
endDate	
animeNumMembers	
animeScore	7.47
animeUsers	2648
animeRank	
animePopularity	5686
animeDescription	"The story follows Kintaro, former leader of a widely feared and respected biker gang, who decides that its time to ""straighten out"" and become a ""salaryman"" since his wife died and he has to take care of his young son.

(Source: AniDB)"
animeRelated	['Salaryman Kintarou']
animeCharacters	"['Yajima, Kintarou', 'Suenaga, Misuzu', 'Yamato, Morinosuke', 'Biker Girl', 'Yajima, Ryuuta', 'Nakazawa', 'Murakami', 'Okada', ""Kintarou's Uncle"", 'Okamoto']"
animeVoices	['Miyamoto, Taisei', 'Tanaka, Atsuko', 'Kawakubo, Kiyoshi', 'Yuunagi, Kayo', 'Jou, Masako', 'Kumagai, Masayuki', 'Hirano, Toshitaka', 'Chou, Katsumi', 'Tanaka, Kan']
animeStaff	[['Katsumata, Tomoharu', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Yamayoshi, Yasuo', 'Episode Director'], ['Tomita, Sukehiro', 'Script']]
