animeTitle	Fate/kaleid liner Prisma☆Illya Specials
animeType	Special
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	18281
animeRank	
animePopularity	2879
animeDescription	Specials bundled with each of all five Blu-ray/DVD volumes.
animeRelated	['Fate/kaleid liner Prisma☆Illya']
animeCharacters	['Toosaka, Rin', 'von Einzbern, Illyasviel', 'Edelfelt, Miyu', 'Edelfelt, Luviagelita', 'Emiya, Shirou', 'von Einzbern, Irisviel', 'Leysritt', 'Sella', 'Magical Ruby']
animeVoices	['Ueda, Kana', 'Kadowaki, Mai', 'Nazuka, Kaori', 'Itou, Shizuka', 'Sugiyama, Noriaki', 'Ohara, Sayaka', 'Miyagawa, Miho', 'Nanao, Haruhi', 'Takano, Naoko']
animeStaff	[['Type-Moon', 'Original Creator'], ['Katou, Tatsuya', 'Music'], ['Hiroyama, Hiroshi', 'Original Creator, Original Character Design']]
