animeTitle	Bubblegum Crisis Tokyo 2040
animeType	TV
animeNumEpisode	26
releaseDate	1998-10-08 00:00:00
endDate	1999-04-01 00:00:00
animeNumMembers	33149
animeScore	7.09
animeUsers	12785
animeRank	3395
animePopularity	3132
animeDescription	"After a mysterious eathquake levels Tokyo, Genom becomes a powerful influence providing their artificial organic lifeforms called Boomers to rebuild and act as a labor class to humanity. However, some of them ocasionally run amok, and even the specially created AD Police are at a loss to stop them. Lina Yamazaki travels to Tokyo for employment but also hopes to join a vigilante force called the Knight Sabers, who pilot powered suits to destroy these rogue Boomers.

(Source: ANN)"
animeRelated	['Bubblegum Crisis', 'A.D. Police (TV)']
animeCharacters	['Asagiri, Priscilla', 'Romanova, Nene', 'Stingray, Sylia', 'Yamazaki, Linna', 'McNichol, Leon', 'Stingray, Mackey', 'Mason, Brian J.', 'Kirkland, Nigel', 'Misae', 'Galatea']
animeVoices	['Asakawa, Yuu', 'Konishi, Hiroko', 'Yukino, Satsuki', 'Natsuki, Rio', 'Yanada, Kiyoyuki', 'Yamaguchi, Ken', 'Masuda, Yuki']
animeStaff	[['Hayashi, Hiroki', 'Director, Storyboard'], ['Suzuki, Kaoru', 'Episode Director'], ['Hosoda, Masahiro', 'Episode Director, Storyboard'], ['Midoro, Musei', 'Episode Director']]
