animeTitle	Guardian Hearts-Power UP!
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.87
animeUsers	1302
animeRank	
animePopularity	8020
animeDescription	Sequel to the madcap Guardian Hearts OVA series, continuing with Kazuya's misadventures. 
animeRelated	['Guardian Hearts']
animeCharacters	['Hina', 'Chelsea', 'Satsuki, Hime', 'Kurusu', 'Ooba, Maya', 'Watari, Kazuya', 'Daisy', 'Kagami, Madoka', 'Powawa']
animeVoices	['Kugimiya, Rie', 'Shintani, Ryouko', 'Ishimura, Tomoko', 'Araki, Kae', 'Sakurai, Takahiro', 'Shintani, Mayumi', 'Kobayashi, Yuu', 'Minami, Omi']
animeStaff	[['Kuroda, Yasuhiro', 'Director'], ['Tsuchiya, Hiroyuki', 'Episode Director'], ['Sanpei, Hijiri', 'Episode Director'], ['Hata, Aki', 'Theme Song Lyrics, Theme Song Composition']]
