animeTitle	Macross 7 Plus
animeType	Special
animeNumEpisode	11
releaseDate	1995-01-25 00:00:00
endDate	1996-01-26 00:00:00
animeNumMembers	6077
animeScore	6.8
animeUsers	2454
animeRank	4627
animePopularity	6466
animeDescription	A series of 2-3 minute shorts revealing the everyday life of some characters, back-story of others, and the occasional music video. Originally included as extras on the Macross 7 VHS and laserdisc releases.
animeRelated	['Macross 7']
animeCharacters	['Nekki, Basara', 'Jenius, Mylene Flare', 'Fallyna, Milia', 'Jenius, Maximilian', 'Kizaki, Gamlin', 'Miho, Miho', 'Lovelock, Ray', 'Johnson, Michalle', 'Ford, Sally S.', 'Hojo, Akiko']
animeVoices	['Canna, Nobutoshi', 'Sakurai, Tomo', 'Takeda, Eri', 'Hayami, Show', 'Koyasu, Takehito', 'Natsuki, Rio', 'Sugawara, Masashi', 'Murozono, Takehiro', 'Iwao, Junko', 'Takano, Urara']
animeStaff	[['Amino, Tetsuro', 'Director'], ['Fujimoto, Yoshitaka', 'Director'], ['Gotou, Keiji', 'Animation Director'], ['Arai, Kouichi', 'Key Animation']]
