animeTitle	b'Neon The Animation'
animeType	b'ONA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	5.36
animeUsers	205
animeRank	
animePopularity	
animeDescription	"b""Promotional animated videos of Osaka's entertainment and shopping district, Nipponbashi (or colloquially known as Nippombashi) narrated by Nipponbashi's mascot Neon and her sister Hikari-chan. Nipponbashi is the equal of Tokyo's Akihabara."""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
