animeTitle	Neon The Animation
animeType	ONA
animeNumEpisode	6
releaseDate	2011-07-04 00:00:00
endDate	2015-04-03 00:00:00
animeNumMembers	
animeScore	5.36
animeUsers	205
animeRank	
animePopularity	11506
animeDescription	Promotional animated videos of Osaka's entertainment and shopping district, Nipponbashi (or colloquially known as Nippombashi) narrated by Nipponbashi's mascot Neon and her sister Hikari-chan. Nipponbashi is the equal of Tokyo's Akihabara.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
