animeTitle	Kemurikusa
animeType	ONA
animeNumEpisode	2
releaseDate	2011-05-01 00:00:00
endDate	2012-03-01 00:00:00
animeNumMembers	
animeScore	5.9
animeUsers	526
animeRank	
animePopularity	9840
animeDescription	"Tatsuki's winning entry for the ""24th 3D Anime Contest"" in 2012 which later became a TV anime. It can be found on his youtube channel, irodoriginal."
animeRelated	['Kemurikusa (TV)']
animeCharacters	['Rin', 'Ritsu', 'Wakaba', 'Rina', 'Riku', 'Ryoku', 'Ryo']
animeVoices	['Sekine, Akira']
animeStaff	[['Tatsuki', 'Director']]
