animeTitle	Kairaku Satsujin Chousakan Kouji
animeType	OVA
animeNumEpisode	3
releaseDate	1999-03-26 00:00:00
endDate	1999-07-23 00:00:00
animeNumMembers	1412
animeScore	5.65
animeUsers	439
animeRank	
animePopularity	10292
animeDescription	"From the creator of Urotsukidoji: Legend of the Overfiend, La Blue Girl, and Demon Beast Invasion! A monster is out for blood, and only the man-demon Koji can hunt down the preternatural killer. Aided by a morbid psychic, he follows the grisly trail of victims to a lonely woman. What unspeakable horrors will he find? And are even Koji`s powers enough to curb this devastating threat?
(Source: AniDB)"
animeRelated	[]
animeCharacters	['Koji', 'Kyoko', 'Kanzaki', 'Miko', 'Yuta', 'Meguro', 'Aya', 'Doctor', 'Jun', 'Narrator']
animeVoices	['Kumagaya, Nina']
animeStaff	[['Yamaki, Yasuhito', 'Producer'], ['Endou, Katsumi', 'Storyboard'], ['Maeda, Toshio', 'Original Creator'], ['Takahashi, Takeo', 'Key Animation']]
