animeTitle	Sore Ike! Anpanman: Yuurei Sen wo Yattsukero!!
animeType	Movie
animeNumEpisode	1
releaseDate	1995-07-29 00:00:00
endDate	
animeNumMembers	317
animeScore	
animeUsers	
animeRank	13520
animePopularity	14336
animeDescription	4th Anpanman short movie.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Rollpanna', 'Currypanman', 'Dokin-chan', 'Melonpanna', 'Shokupanman', 'Oji-san, Jam', 'Batako-san']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Tominaga, Miina', 'Yanagisawa, Michiyo', 'Tsuru, Hiromi', 'Kanai, Mika', 'Shimamoto, Sumi', 'Masuoka, Hiroshi', 'Sakuma, Rei']
animeStaff	[['Yano, Hiroyuki', 'Director'], ['Yamada, Etsuji', 'Sound Director'], ['Yanase, Takashi', 'Theme Song Lyrics, Original Creator'], ['Ootani, Kazuo', 'Theme Song Arrangement']]
