animeTitle	Hajimemashite no Kimochi wo
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18098
animeDescription	"Music video for the song Hajimemashite no Kimochi wo by Daoko. It is used as an insert song in the live action Kaguya-sama: Love Is War movie.

Music video is a blend of real-life footage and animation.

(Source: Anilist, edited)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
